"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000115255.6",144.713895477502,-0.141496627382954,0.274763642075552,-0.514975803618321,0.606569928318766,0.716855369831269
"ENSG00000115257.11",64.9284598830395,0.314524923061762,0.36521985042503,0.861193395418482,0.38913153701617,0.505870998121021
"ENSG00000115266.7",3017.44989295856,-7.05378951868257,0.137852619297236,-51.169064139966,0,0
"ENSG00000115268.5",2111.08191289132,0.765074847891377,0.0711669877673529,10.750417741333,5.89938273602878e-27,3.22913581340523e-26
"ENSG00000115286.15",735.3006568022,-1.06630810685062,0.113162165089043,-9.42283232219513,4.3908095716614e-21,2.17449616882279e-20
"ENSG00000116014.5",27.2253163298474,2.58903923464119,0.664223715895869,3.89784220689747,9.70536196385174e-05,0.00024032324862871
"ENSG00000116017.6",552.692092489139,3.41809767627965,0.16684109895147,20.4871443412987,2.80362881894828e-93,3.64471746463277e-92
"ENSG00000116032.5",12.1331755915182,6.5458515062776,1.64747950897009,3.97325215314496,7.08979255464882e-05,0.000189061134790635
"ENSG00000118046.10",930.329220856953,-0.725632147325468,0.0978828884157323,-7.41326864245702,1.23223918709261e-13,4.92895674837043e-13
"ENSG00000119559.11",252.027810656258,-0.211541580674908,0.211249229151135,-1.00138391758847,0.316641236208733,0.416844159059598
"ENSG00000127540.7",444.428365569037,-0.779469828768324,0.136799840183738,-5.69788552180622,1.21302454519948e-08,4.06950170002406e-08
"ENSG00000129911.4",349.718496111112,-0.526880040796849,0.154356904743858,-3.41338822303518,0.000641604720894132,0.0014197210845317
"ENSG00000129946.6",263.240790235816,-2.74468024096501,0.197702460978705,-13.8828835381095,8.04415342540212e-44,5.5772797082788e-43
"ENSG00000129951.14",169.963875323488,-1.72853579911413,0.232302510521118,-7.44088299018616,1.00014507086072e-13,4.16060349478058e-13
"ENSG00000129968.11",838.418327072139,-1.41372093670158,0.107362834864907,-13.167693815839,1.34648049360851e-39,8.75212320845529e-39
"ENSG00000130005.7",284.15449311872,-0.674397857036953,0.172934400237689,-3.89973224592694,9.62991252204945e-05,0.00024032324862871
"ENSG00000130270.12",43.4594606263502,2.45481107398147,0.51453599887684,4.77092191671717,1.83384625474429e-06,5.44914315695445e-06
"ENSG00000133243.4",1153.32162881935,-1.4754059872974,0.0872078765632577,-16.9182652466855,3.30008286344718e-64,2.86007181498756e-63
"ENSG00000133275.11",788.92787761915,-0.143730467595234,0.107581090931397,-1.33601980004914,0.1815428016497,0.265921850303787
"ENSG00000141933.8",121.472787590044,-0.936227242182275,0.268890858503768,-3.4818113467742,0.000498034430695708,0.00115101290649675
"ENSG00000141934.5",82.9749690557972,0.38496652494135,0.337142075701318,1.14185250873997,0.253515331939484,0.346915717390873
"ENSG00000160953.10",1137.13440983068,-1.86944480446979,0.0907922462982796,-20.5903574444904,3.34889256619206e-94,4.97549752691391e-93
"ENSG00000167468.12",1915.81538761741,-0.696756945246356,0.0701950495921968,-9.92601257915218,3.208295975428e-23,1.66831390722256e-22
"ENSG00000167470.8",1340.07234431304,1.42385927931767,0.0884001870046666,16.1069713488559,2.27916867975392e-58,1.82333494380314e-57
"ENSG00000172232.5",57.1038977253103,3.51560147406152,0.540390493870556,6.50566861174956,7.73485707275228e-11,2.77387977781461e-10
"ENSG00000172270.14",5112.2694151137,-0.0757792866467983,0.0397891719948625,-1.90452032167401,0.0568424526040549,0.0985269178470284
"ENSG00000175221.10",506.73570934102,-0.441155408948355,0.130490829263183,-3.3807387955103,0.000722912287481027,0.00156630995620889
"ENSG00000176695.5",0,NA,NA,NA,NA,NA
"ENSG00000180448.6",541.47130243439,2.63318531883042,0.149794844038175,17.5786111714189,3.59269071303894e-69,3.7363983415605e-68
"ENSG00000180846.4",0,NA,NA,NA,NA,NA
"ENSG00000181588.15",294.211109339145,0.501715352283678,0.176850752765034,2.8369421358939,0.00455478659246832,0.00910957318493665
"ENSG00000181781.5",3.53647613385917,-1.9883121397633,1.71069479001082,-1.16228338998491,0.245120371302004,0.339900248205446
