baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000167468.12	1915.81538761741	-0.696756945246356	0.0701950495921968	-9.92601257915218	3.208295975428e-23	1.66831390722256e-22
ENSG00000115286.15	735.3006568022	-1.06630810685062	0.113162165089043	-9.42283232219513	4.3908095716614e-21	2.17449616882279e-20
ENSG00000099625.8	192.278200026013	-2.05656521914627	0.236771002806662	-8.68588296188271	3.75811693199046e-18	1.77656436785004e-17
ENSG00000197561.2	79.5468701765783	4.15185790363723	0.517229892486014	8.02710354516005	9.98008483436732e-16	4.51273401206175e-15
ENSG00000064687.8	566.220566595511	1.06822172789691	0.133255084528387	8.01636749304935	1.08918308112457e-15	4.71979335153981e-15
ENSG00000129951.14	169.963875323488	-1.72853579911413	0.232302510521118	-7.44088299018616	1.00014507086072e-13	4.16060349478058e-13
ENSG00000118046.10	930.329220856953	-0.725632147325468	0.0978828884157323	-7.41326864245702	1.23223918709261e-13	4.92895674837043e-13
ENSG00000099624.3	1125.55610675365	-0.643230046061971	0.0937941270062574	-6.8578925631352	6.9883782296448e-12	2.64321520802991e-11
ENSG00000197766.3	93.9347231750148	2.58533156659959	0.377128925215068	6.85529906019601	7.11634863700361e-12	2.64321520802991e-11
ENSG00000172232.5	57.1038977253103	3.51560147406152	0.540390493870556	6.50566861174956	7.73485707275228e-11	2.77387977781461e-10
ENSG00000099812.6	134.36062722296	8.56879045498487	1.46019942449606	5.86823300381871	4.40463978631777e-09	1.52694179259016e-08
ENSG00000127540.7	444.428365569037	-0.779469828768324	0.136799840183738	-5.69788552180622	1.21302454519948e-08	4.06950170002406e-08
ENSG00000079313.7	595.845304456993	-0.638403098426418	0.120245561022126	-5.30916146092865	1.10130739700369e-07	3.57924904026199e-07
ENSG00000267059.2	893.488292064362	-0.493730030526713	0.0985933737370687	-5.00774049829561	5.50727162926993e-07	1.73562499831537e-06
ENSG00000182087.8	1598.34889523065	0.361083710425721	0.0748519607327849	4.82397130136322	1.40727674989646e-06	4.30461123497742e-06
ENSG00000130270.12	43.4594606263502	2.45481107398147	0.51453599887684	4.77092191671717	1.83384625474429e-06	5.44914315695445e-06
ENSG00000185988.7	19.5761026715897	-3.50470938408511	0.802100815518901	-4.36941256794236	1.24581206001377e-05	3.59901261781755e-05
ENSG00000070388.7	14.9917030964838	-4.7696657907989	1.09723532979107	-4.34698524673563	1.3802149914595e-05	3.8795232192375e-05
ENSG00000227500.5	475.488076068679	-0.580762750921011	0.142860679903994	-4.06523860387126	4.79833466542693e-05	0.000131322843474842
ENSG00000116032.5	12.1331755915182	6.5458515062776	1.64747950897009	3.97325215314496	7.08979255464882e-05	0.000189061134790635
ENSG00000267317.1	31.2191816917511	2.41004780192994	0.610464698367185	3.94789053056813	7.88428390260374e-05	0.000204991381467697
ENSG00000116014.5	27.2253163298474	2.58903923464119	0.664223715895869	3.89784220689747	9.70536196385174e-05	0.00024032324862871
ENSG00000130005.7	284.15449311872	-0.674397857036953	0.172934400237689	-3.89973224592694	9.62991252204945e-05	0.00024032324862871
ENSG00000228300.9	190.632971533722	0.825075486532266	0.22382993467336	3.68617132349307	0.000227653125425832	0.000550602908006663
ENSG00000099617.2	34.5339734172291	2.05537734267968	0.578292970843903	3.55421463913051	0.000379109674975834	0.000896077413579243
ENSG00000141933.8	121.472787590044	-0.936227242182275	0.268890858503768	-3.4818113467742	0.000498034430695708	0.00115101290649675
ENSG00000185761.6	42.2696773204726	3.0369939581867	0.87910478124081	3.45464388659125	0.000551020105597505	0.00124578458656827
ENSG00000129911.4	349.718496111112	-0.526880040796849	0.154356904743858	-3.41338822303518	0.000641604720894132	0.0014197210845317
ENSG00000175221.10	506.73570934102	-0.441155408948355	0.130490829263183	-3.3807387955103	0.000722912287481027	0.00156630995620889
ENSG00000099866.10	32.332393084151	-1.78460927061509	0.53462339512413	-3.33806804358185	0.000843630874775093	0.00179056348931856
